offset	bsdsocket	n_other	others
-258	vsyslog	8	utility:ReleaseNamedObject,dos:ReplyPkt,graphics:AreaDraw,datatypes:FindMethod,iffparse:GoodID,exec:RemHead
-264	Dup2Socket	8	utility:RemNamedObject,dos:AbortPkt,graphics:AreaEnd,datatypes:FindTriggerMethod,iffparse:GoodType,exec:RemTail
-270	sendmsg	7	utility:GetUniqueID,dos:LockRecord,graphics:WaitTOF,datatypes:CopyDTMethods,iffparse:IDtoStr,exec:Enqueue
-276	recvmsg	5	dos:LockRecords,graphics:QBlit,datatypes:CopyDTTriggerMethods,exec:FindName,intuition:SetWindowTitles
-282	gethostname	5	dos:UnLockRecord,graphics:InitArea,datatypes:FreeDTMethods,exec:AddTask,intuition:ShowTitle
-288	gethostid	5	dos:UnLockRecords,graphics:SetRGB4,datatypes:GetDTTriggerMethodDataFlags,exec:RemTask,intuition:SizeWindow
-294	SocketBaseTagList	5	dos:SelectInput,graphics:QBSBlit,datatypes:SaveDTObjectA,exec:FindTask,intuition:ViewAddress
-300	GetSocketEvents	5	dos:SelectOutput,graphics:BltClear,datatypes:StartDragSelect,exec:SetTaskPri,intuition:ViewPortAddress
-306	reserved	4	dos:FGetC,graphics:RectFill,exec:SetSignal,intuition:WindowToBack
-312	reserved	5	utility:VSNPrintf,dos:FPutC,graphics:BltPattern,exec:SetExcept,intuition:WindowToFront
-318	reserved	4	dos:UnGetC,graphics:ReadPixel,exec:Wait,intuition:WindowLimits
-324	reserved	4	dos:FRead,graphics:WritePixel,exec:Signal,intuition:SetPrefs
-330	reserved	4	dos:FWrite,graphics:Flood,exec:AllocSignal,intuition:IntuiTextLength
-336	reserved	4	dos:FGets,graphics:PolyDraw,exec:FreeSignal,intuition:WBenchToBack
-342	reserved	4	dos:FPuts,graphics:SetAPen,exec:AllocTrap,intuition:WBenchToFront
-348	reserved	4	dos:VFWritef,graphics:SetBPen,exec:FreeTrap,intuition:AutoRequest
-354	reserved	4	dos:VFPrintf,graphics:SetDrMd,exec:AddPort,intuition:BeginRefresh
-360	reserved	4	dos:Flush,graphics:InitView,exec:RemPort,intuition:BuildSysRequest
-366	bpf_open	4	dos:SetVBuf,graphics:CBump,exec:PutMsg,intuition:EndRefresh
-372	bpf_close	4	dos:DupLockFromFH,graphics:CMove,exec:GetMsg,intuition:FreeSysRequest
-378	bpf_read	4	dos:OpenFromLock,graphics:CWait,exec:ReplyMsg,intuition:MakeScreen
-384	bpf_write	4	dos:ParentOfFH,graphics:VBeamPos,exec:WaitPort,intuition:RemakeDisplay
-390	bpf_set_notify_mask	4	dos:ExamineFH,graphics:InitBitMap,exec:FindPort,intuition:RethinkDisplay
-396	bpf_set_interrupt_mask	4	dos:SetFileDate,graphics:ScrollRaster,exec:AddLibrary,intuition:AllocRemember
-402	bpf_ioctl	4	dos:NameFromLock,graphics:WaitBOVP,exec:RemLibrary,intuition:AlohaWorkbench
-408	bpf_data_waiting	4	dos:NameFromFH,graphics:GetSprite,exec:OldOpenLibrary,intuition:FreeRemember
-414	AddRouteTagList	4	dos:SplitName,graphics:FreeSprite,exec:CloseLibrary,intuition:LockIBase
-420	DeleteRouteTagList	4	dos:SameLock,graphics:ChangeSprite,exec:SetFunction,intuition:UnlockIBase
-426	ChangeRouteTagList	4	dos:SetMode,graphics:MoveSprite,exec:SumLibrary,intuition:GetScreenData
-432	FreeRouteInfo	4	dos:ExAll,graphics:LockLayerRom,exec:AddDevice,intuition:RefreshGList
-438	GetRouteInfo	5	utility:Strncpy,dos:ReadLink,graphics:UnlockLayerRom,exec:RemDevice,intuition:AddGList
-444	AddInterfaceTagList	5	utility:Strncat,dos:MakeLink,graphics:SyncSBitMap,exec:OpenDevice,intuition:RemoveGList
-450	ConfigureInterfaceTagList	6	utility:SDivMod64,dos:ChangeMode,rexxsyslib:LockRexxBase,graphics:CopySBitMap,exec:CloseDevice,intuition:ActivateWindow
-456	ReleaseInterfaceList	6	utility:UDivMod64,dos:SetFileSize,rexxsyslib:UnlockRexxBase,graphics:OwnBlitter,exec:DoIO,intuition:RefreshWindowFrame
-462	ObtainInterfaceList	4	dos:SetIoErr,graphics:DisownBlitter,exec:SendIO,intuition:ActivateGadget
-468	QueryInterfaceTagList	4	dos:Fault,graphics:InitTmpRas,exec:CheckIO,intuition:NewModifyProp
-474	CreateAddrAllocMessageA	4	dos:PrintFault,graphics:AskFont,exec:WaitIO,intuition:QueryOverscan
-480	DeleteAddrAllocMessage	5	dos:ErrorReport,rexxsyslib:CreateRexxHostPort,graphics:AddFont,exec:AbortIO,intuition:MoveWindowInFrontOf
-486	BeginInterfaceConfig	4	rexxsyslib:DeleteRexxHostPort,graphics:RemFont,exec:AddResource,intuition:ChangeWindowBox
-492	AbortInterfaceConfig	5	dos:Cli,rexxsyslib:GetRexxVarFromMsg,graphics:AllocRaster,exec:RemResource,intuition:SetEditHook
-498	AddNetMonitorHookTagList	6	dos:CreateNewProc,dos:CreateNewProcTagList,rexxsyslib:SetRexxVarFromMsg,graphics:FreeRaster,exec:OpenResource,intuition:SetMouseQueue
-504	RemoveNetMonitorHook	4	dos:RunCommand,rexxsyslib:LaunchRexxScript,graphics:AndRectRegion,intuition:ZipWindow
-510	GetNetworkStatistics	4	dos:GetConsoleTask,rexxsyslib:FreeRexxMsg,graphics:OrRectRegion,intuition:LockPubScreen
-516	AddDomainNameServer	4	dos:SetConsoleTask,rexxsyslib:GetRexxBufferFromMsg,graphics:NewRegion,intuition:UnlockPubScreen
-522	RemoveDomainNameServer	4	dos:GetFileSysTask,graphics:ClearRectRegion,exec:RawDoFmt,intuition:LockPubScreenList
-528	ReleaseDomainNameServerList	4	dos:SetFileSysTask,graphics:ClearRegion,exec:GetCC,intuition:UnlockPubScreenList
-534	ObtainDomainNameServerList	4	dos:GetArgStr,graphics:DisposeRegion,exec:TypeOfMem,intuition:NextPubScreen
-540	setnetent	4	dos:SetArgStr,graphics:FreeVPortCopLists,exec:Procure,intuition:SetDefaultPubScreen
-546	endnetent	4	dos:FindCliProc,graphics:FreeCopList,exec:Vacate,intuition:SetPubScreenModes
-552	getnetent	4	dos:MaxCli,graphics:ClipBlit,exec:OpenLibrary,intuition:PubScreenStatus
-558	setprotoent	4	dos:SetCurrentDirName,graphics:XorRectRegion,exec:InitSemaphore,intuition:ObtainGIRPort
-564	endprotoent	4	dos:GetCurrentDirName,graphics:FreeCprList,exec:ObtainSemaphore,intuition:ReleaseGIRPort
-570	getprotoent	4	dos:SetProgramName,graphics:GetColorMap,exec:ReleaseSemaphore,intuition:GadgetMouse
-576	setservent	3	dos:GetProgramName,graphics:FreeColorMap,exec:AttemptSemaphore
