archive	file	verdict	distinct	calls	lvos	scanner	path	sha256
AMarquee51.lha	AMarquee/AMarqueed	NO_SOCKETBASE_STORE opens=3	distinct=0	calls=0		scanner=7	comm/net/AMarquee51.lha	00d8be69e2ffeff7b8419be53a2f81ccbfcb6c59eb53e2aefe029282f7d7dc51
AMarquee51.lha	AMarquee/amarquee.library	NO_SOCKETBASE_STORE opens=2	distinct=0	calls=0		scanner=7	comm/net/AMarquee51.lha	00d8be69e2ffeff7b8419be53a2f81ccbfcb6c59eb53e2aefe029282f7d7dc51
AMosaicSpan121.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AMosaicSpan121.lha	ee76cdae1b4218ac5a3b1d4be40657cedd6be999c6b88b92d27ed55016b4871c
APrepDL.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/APrepDL.lha	bafaddf968f034c7466719524fb02398d1d0380166374203cd45480b516bad10
ARWS-Miami.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/ARWS-Miami.lha	209ae463a63817d93c78295838f2d1188bdc8358885e201dd2098347cbaeac7f
ARemote1.00B.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/net/ARemote1.00B.lha	f6db01dbd28f61181a8c488c9449ccc02bdc4c3ca8c595aecaf12efffe15393d
ATC_Install.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/ATC_Install.lha	f80b2006d74686785ff22d83f245b88a5d7f51f835de444721791c7bcee2b3d0
ATCsp.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/ATCsp.lha	8c23c6bee692ed96806202eb2971294b4d6987124543a13dc72d6e8e87abe810
AVP0_18.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/misc/AVP0_18.lha	7f4d9e96cc023f70d91ebdf0d5e5e13937180b5309710dd67407e5001b049369
AWEBGetIP.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AWEBGetIP.lha	f59b12715110ce0193878748e1002b365f413a3ec31e905c6b2e44a375f13b3c
AWEBmailtoYAM.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AWEBmailtoYAM.lha	b3a9af296b1c296a79a7fade8b41eb196f79b9b37bf0cf5ed5357a79fb6225f7
AWeb-Gr.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/www/AWeb-Gr.lha	f8c96a28cc25932126b4e91ccdb6f5ef5bc53ac0c8c38bf3c6f40cc38fb70b31
AWebResume.lha	AWebResume/AWebResume	NO_SOCKETBASE_STORE opens=9	distinct=0	calls=0		scanner=7	comm/www/AWebResume.lha	16efe6bb9860298ce1c2b8b600782dcfd32751336407319e80a3d163c9f4d2fe
AWebSave.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/www/AWebSave.lha	ab19fa8e1986edd94d47681082099ae71a1a96187acca8d4ce2e0eb6f4cb0fbe
AWebTAPack.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/www/AWebTAPack.lha	ab8fe53efe80bc65c9e25a7b38e3e3fb145d770a3da35d05a055424186f3194f
AWebThorMail.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/www/AWebThorMail.lha	2859fde4131e5698b9d5f34d566a372a1663ee237b75ac05d5b0746f22f00b2e
AWebUMS.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/ums/AWebUMS.lha	9dd14aecc4bee47f80b0474099fcffd17c69975191af976040bb8e4ef130996d
AbDial.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AbDial.lha	ba6c20c602ecf87be72eb369977cd1c37fb1d9e1915141ecbb092b05f24874a4
AbGetUrl160.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AbGetUrl160.lha	9129e664bb68be7905da79a86c9be32166d4fe254c32a93b1f852593cd92796a
AbStartTCP.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AbStartTCP.lha	accb34cf5bd9c601de3cccb86f7575847ca475f4bb36a6e8e909f57c453a5bb9
AboutIceBBS56.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/bbs/AboutIceBBS56.lha	eb9299d4d3a2c0839b33283fd6e07ca6bc801d85559d4035e93ca68c1b57cbc2
Ahmatti.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/Ahmatti.lha	33db841ce5540822127e6058f64dc0ecfa849e18054e9489fb2471bdc19cec81
AirMailPro32p.lha	AirMailPro32/SuperMailBox	OK	distinct=7	calls=31	socket,connect,send,recv,shutdown,CloseSocket,gethostbyname	scanner=7	comm/mail/AirMailPro32p.lha	6042b3908968d587ead29bce014a10ce86ed5847104f2ac07cd0cb1de55899dd
AirMailPro32p.lha	AirMailPro32/AirMailProPlugin	OK	distinct=7	calls=14	socket,connect,send,recv,shutdown,CloseSocket,gethostbyname	scanner=7	comm/mail/AirMailPro32p.lha	6042b3908968d587ead29bce014a10ce86ed5847104f2ac07cd0cb1de55899dd
AirMailPro32p.lha	AirMailPro32/AirMailPro	NO_SOCKETBASE_STORE opens=17	distinct=0	calls=0		scanner=7	comm/mail/AirMailPro32p.lha	6042b3908968d587ead29bce014a10ce86ed5847104f2ac07cd0cb1de55899dd
AkPrefs_Fr.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/mail/AkPrefs_Fr.lha	2f14eb157eaa87f65501d86c4b6c98cf328b7d9e39000029f9c47aa37b0249a5
Aktienkurse.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/misc/Aktienkurse.lha	02743ef46b45ed70b5edb461b65046112b3e8f164487b57b96828c5c570409eb
Aliazer.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/mail/Aliazer.lha	f14647dfe116e15520539dcf2e4230548ce143b03e1f76bfae2883d09e76b77e
